时间戳,工号,班次,操作时长,熟练度,操作类型,操作结果,上次培训日期,预警状态
2025-04-14 05:20:28.656525,W004,夜班,1.94,0.57,质检,正常,2025-02-03,效率低下
2025-04-14 06:32:01.578553,W004,白班,0.87,0.61,维护,正常,2025-02-03,效率低下
2025-04-14 05:29:11.237230,W004,夜班,1.73,0.57,下料,正常,2025-02-03,效率低下
2025-04-14 05:29:15.287873,W005,夜班,1.09,0.76,上料,正常,2025-02-07,正常
2025-04-14 01:28:45.909705,W005,夜班,1.53,0.81,质检,正常,2025-02-07,正常
2025-04-14 03:20:05.586225,W005,夜班,1.36,0.79,下料,正常,2025-02-07,正常
2025-04-14 02:48:10.483059,W006,夜班,0.81,0.7,上料,正常,2024-12-29,效率低下|需要培训
2025-04-14 07:00:23.734118,W006,白班,1.49,0.72,维护,正常,2024-12-29,效率低下|需要培训
2025-04-14 07:48:39.620360,W006,白班,0.52,0.71,下料,正常,2024-12-29,效率低下|需要培训
2025-04-14 07:42:41.809367,W006,白班,1.52,0.71,质检,正常,2024-12-29,效率低下|需要培训
2025-04-14 01:33:39.369457,W007,夜班,1.39,0.71,质检,正常,2025-02-27,效率低下
2025-04-14 07:10:33.587748,W007,白班,0.82,0.63,质检,正常,2025-02-27,效率低下
2025-04-14 06:17:38.028167,W008,白班,0.53,0.66,质检,正常,2024-11-12,效率低下|需要培训
2025-04-14 01:48:58.330770,W008,夜班,0.8,0.64,上料,正常,2024-11-12,效率低下|需要培训
2025-04-14 02:46:09.324829,W008,夜班,1.9,0.63,调试,正常,2024-11-12,效率低下|需要培训
2025-04-14 07:51:36.540404,W008,白班,1.38,0.64,上料,正常,2024-11-12,效率低下|需要培训
2025-04-14 00:01:42.807389,W009,夜班,1.29,0.76,维护,正常,2024-12-05,需要培训
2025-04-14 01:55:30.678801,W009,夜班,0.8,0.73,上料,正常,2024-12-05,效率低下|需要培训
2025-04-14 00:01:39.918353,W009,夜班,1.16,0.77,下料,正常,2024-12-05,需要培训
2025-04-14 03:58:26.025049,W010,夜班,1.68,0.77,调试,正常,2024-12-14,需要培训
2025-04-14 05:18:05.305030,W010,夜班,0.61,0.75,维护,正常,2024-12-14,需要培训
2025-04-14 07:27:38.415501,W010,白班,1.01,0.81,下料,正常,2024-12-14,需要培训
2025-04-14 00:31:06.423936,W010,夜班,1.41,0.81,维护,正常,2024-12-14,需要培训
2025-04-14 13:24:21.029583,W001,白班,1.65,0.63,质检,正常,2025-02-04,效率低下
2025-04-14 08:21:12.171019,W001,白班,0.65,0.71,调试,正常,2025-02-04,效率低下
2025-04-14 09:00:23.169710,W001,白班,1.84,0.7,上料,正常,2025-02-04,效率低下
2025-04-14 14:22:28.267888,W002,白班,1.35,0.68,调试,正常,2025-02-28,效率低下
2025-04-14 12:53:09.460422,W002,白班,1.01,0.73,上料,正常,2025-02-28,效率低下
2025-04-14 10:56:53.427282,W002,白班,0.91,0.79,调试,正常,2025-02-28,正常
2025-04-14 10:40:43.357095,W002,白班,0.89,0.8,调试,正常,2025-02-28,正常
2025-04-14 13:04:22.559032,W003,白班,1.48,0.62,质检,正常,2024-10-21,效率低下|需要培训
2025-04-14 15:07:05.651728,W003,白班,1.98,0.59,质检,正常,2024-10-21,效率低下|需要培训
2025-04-14 11:19:48.066571,W004,白班,1.21,0.69,下料,正常,2025-02-03,效率低下
2025-04-14 15:40:07.709617,W004,白班,0.83,0.58,质检,正常,2025-02-03,效率低下
2025-04-14 15:19:20.960851,W004,白班,1.0,0.59,上料,正常,2025-02-03,效率低下
2025-04-14 08:26:08.562102,W004,白班,0.8,0.77,下料,正常,2025-02-03,正常
2025-04-14 09:48:01.434019,W005,白班,1.02,0.89,质检,正常,2025-02-07,正常
2025-04-14 10:26:15.682414,W005,白班,0.8,0.88,调试,正常,2025-02-07,正常
2025-04-14 08:08:13.675054,W006,白班,0.67,0.81,上料,正常,2024-12-29,需要培训
2025-04-14 09:48:53.160084,W006,白班,1.69,0.79,维护,正常,2024-12-29,需要培训
2025-04-14 10:29:30.847054,W006,白班,0.96,0.78,维护,正常,2024-12-29,需要培训
2025-04-14 12:05:08.361529,W006,白班,1.84,0.76,调试,正常,2024-12-29,需要培训
2025-04-14 09:22:58.336302,W007,白班,1.68,0.79,下料,正常,2025-02-27,正常
2025-04-14 09:07:37.555518,W007,白班,1.71,0.8,上料,正常,2025-02-27,正常
2025-04-14 12:59:16.388982,W008,白班,1.14,0.68,质检,正常,2024-11-12,效率低下|需要培训
2025-04-14 11:38:16.584609,W008,白班,0.71,0.69,下料,正常,2024-11-12,效率低下|需要培训
2025-04-14 08:08:17.206559,W008,白班,1.61,0.73,质检,正常,2024-11-12,效率低下|需要培训
2025-04-14 14:19:57.222345,W008,白班,0.56,0.66,上料,正常,2024-11-12,效率低下|需要培训
2025-04-14 12:25:58.190071,W009,白班,1.47,0.77,下料,正常,2024-12-05,需要培训
2025-04-14 13:44:50.522999,W009,白班,1.24,0.74,上料,正常,2024-12-05,效率低下|需要培训
2025-04-14 14:03:43.030851,W009,白班,0.71,0.74,下料,正常,2024-12-05,效率低下|需要培训
2025-04-14 08:36:11.102935,W010,白班,1.22,0.9,维护,正常,2024-12-14,需要培训
2025-04-14 12:02:36.353650,W010,白班,1.99,0.86,下料,正常,2024-12-14,需要培训
2025-04-14 10:09:28.618640,W010,白班,1.97,0.88,下料,正常,2024-12-14,需要培训
2025-04-14 18:44:42.972286,W001,夜班,0.93,0.6,维护,正常,2025-02-04,效率低下
2025-04-14 20:16:28.431149,W001,夜班,0.96,0.58,维护,正常,2025-02-04,效率低下
2025-04-14 17:44:54.398555,W001,白班,1.98,0.69,质检,正常,2025-02-04,效率低下
2025-04-14 21:27:37.317590,W001,夜班,1.74,0.57,质检,正常,2025-02-04,效率低下
2025-04-14 16:29:40.683959,W002,白班,0.84,0.87,上料,正常,2025-02-28,正常
2025-04-14 16:36:48.208567,W002,白班,0.91,0.87,上料,正常,2025-02-28,正常
2025-04-14 20:08:08.154920,W002,夜班,0.97,0.68,下料,正常,2025-02-28,效率低下
2025-04-14 18:32:45.195811,W003,夜班,1.18,0.6,下料,正常,2024-10-21,效率低下|需要培训
2025-04-14 21:34:29.118218,W003,夜班,1.66,0.55,上料,正常,2024-10-21,效率低下|需要培训
2025-04-14 21:51:22.978475,W003,夜班,0.63,0.55,下料,正常,2024-10-21,效率低下|需要培训
2025-04-14 22:03:19.229132,W004,夜班,1.96,0.56,调试,正常,2025-02-03,效率低下
2025-04-14 17:20:27.292363,W004,白班,1.27,0.74,调试,正常,2025-02-03,效率低下
2025-04-14 20:46:12.990500,W004,夜班,0.82,0.59,调试,异常,2025-02-03,效率低下
2025-04-14 20:56:56.582842,W004,夜班,1.05,0.58,质检,正常,2025-02-03,效率低下
2025-04-14 17:23:27.030864,W005,白班,0.73,0.9,维护,正常,2025-02-07,正常
2025-04-14 21:58:13.519708,W005,夜班,0.88,0.76,上料,正常,2025-02-07,正常
2025-04-14 22:01:42.917775,W006,夜班,1.03,0.66,维护,正常,2024-12-29,效率低下|需要培训
2025-04-14 21:18:33.487951,W006,夜班,0.58,0.67,质检,正常,2024-12-29,效率低下|需要培训
2025-04-14 16:47:05.631969,W006,白班,1.64,0.8,调试,正常,2024-12-29,需要培训
2025-04-14 17:31:31.273872,W007,白班,0.83,0.79,下料,正常,2025-02-27,正常
2025-04-14 19:30:10.127445,W007,夜班,0.59,0.66,质检,正常,2025-02-27,效率低下
2025-04-14 17:40:04.206821,W007,白班,0.73,0.79,调试,正常,2025-02-27,正常
2025-04-14 16:58:01.997070,W008,白班,1.99,0.72,维护,正常,2024-11-12,效率低下|需要培训
2025-04-14 17:11:48.371457,W008,白班,0.55,0.72,维护,正常,2024-11-12,效率低下|需要培训
2025-04-14 21:01:09.503029,W008,夜班,1.97,0.61,上料,正常,2024-11-12,效率低下|需要培训
2025-04-14 23:57:44.342403,W008,夜班,1.39,0.58,下料,正常,2024-11-12,效率低下|需要培训
2025-04-14 16:35:50.230004,W009,白班,0.58,0.84,质检,正常,2024-12-05,需要培训
2025-04-14 16:19:03.334864,W009,白班,0.78,0.84,维护,正常,2024-12-05,需要培训
2025-04-14 17:06:57.464261,W009,白班,1.07,0.83,上料,正常,2024-12-05,需要培训
2025-04-14 18:15:44.351914,W009,夜班,1.61,0.73,下料,正常,2024-12-05,效率低下|需要培训
2025-04-14 19:01:52.547991,W010,夜班,0.93,0.78,下料,正常,2024-12-14,需要培训
2025-04-14 21:00:42.374307,W010,夜班,1.59,0.76,质检,正常,2024-12-14,需要培训
2025-04-15 04:45:20.485531,W001,夜班,1.37,0.58,质检,正常,2025-02-04,效率低下
2025-04-15 02:46:09.280176,W001,夜班,0.64,0.6,质检,正常,2025-02-04,效率低下
2025-04-15 05:54:35.798659,W002,夜班,1.77,0.63,维护,正常,2025-02-28,效率低下
2025-04-15 06:09:06.484203,W002,白班,1.72,0.69,质检,正常,2025-02-28,效率低下
2025-04-15 07:57:12.065631,W002,白班,1.82,0.63,维护,正常,2025-02-28,效率低下
2025-04-15 01:06:29.927014,W003,夜班,1.74,0.62,维护,正常,2024-10-21,效率低下|需要培训
2025-04-15 06:33:22.567120,W003,白班,0.91,0.6,维护,正常,2024-10-21,效率低下|需要培训
2025-04-15 07:42:17.855248,W004,白班,1.97,0.57,维护,正常,2025-02-03,效率低下
2025-04-15 07:35:18.732779,W004,白班,1.61,0.58,维护,正常,2025-02-03,效率低下
2025-04-15 04:38:22.680090,W004,夜班,1.55,0.59,维护,正常,2025-02-03,效率低下
2025-04-15 05:51:41.247302,W004,夜班,1.92,0.56,上料,异常,2025-02-03,效率低下
2025-04-15 02:55:58.454003,W005,夜班,0.69,0.79,调试,正常,2025-02-07,正常
2025-04-15 02:36:32.067571,W005,夜班,1.05,0.79,上料,正常,2025-02-07,正常
2025-04-15 07:58:15.677914,W005,白班,1.91,0.82,调试,正常,2025-02-07,正常
2025-04-15 07:54:36.309552,W005,白班,1.39,0.82,下料,正常,2025-02-07,正常
2025-04-15 01:30:00.281369,W006,夜班,1.16,0.71,上料,正常,2024-12-29,效率低下|需要培训
2025-04-15 04:05:36.764372,W006,夜班,1.15,0.68,下料,正常,2024-12-29,效率低下|需要培训
2025-04-15 00:38:37.892054,W006,夜班,1.47,0.72,上料,正常,2024-12-29,效率低下|需要培训
2025-04-15 06:21:43.654994,W007,白班,1.97,0.66,维护,正常,2025-02-27,效率低下
2025-04-15 03:31:15.050628,W007,夜班,1.89,0.66,下料,正常,2025-02-27,效率低下
2025-04-15 05:43:43.101167,W007,夜班,1.05,0.61,下料,正常,2025-02-27,效率低下
2025-04-15 01:58:37.016752,W007,夜班,1.71,0.7,上料,正常,2025-02-27,效率低下
2025-04-15 00:01:14.423615,W008,夜班,1.27,0.66,质检,正常,2024-11-12,效率低下|需要培训
2025-04-15 01:47:30.845809,W008,夜班,0.68,0.64,质检,正常,2024-11-12,效率低下|需要培训
2025-04-15 05:54:49.400143,W008,夜班,0.79,0.6,质检,正常,2024-11-12,效率低下|需要培训
2025-04-15 02:41:43.784522,W009,夜班,1.07,0.72,质检,正常,2024-12-05,效率低下|需要培训
2025-04-15 01:00:14.209109,W009,夜班,0.63,0.75,维护,正常,2024-12-05,效率低下|需要培训
2025-04-15 03:47:52.879557,W009,夜班,1.14,0.7,维护,正常,2024-12-05,效率低下|需要培训
2025-04-15 00:30:53.233060,W010,夜班,2.0,0.81,上料,正常,2024-12-14,需要培训
2025-04-15 02:59:48.626937,W010,夜班,1.09,0.78,维护,正常,2024-12-14,需要培训
2025-04-15 01:57:17.973991,W010,夜班,0.75,0.8,上料,正常,2024-12-14,需要培训
2025-04-15 15:44:03.624698,W001,白班,1.48,0.6,质检,正常,2025-02-04,效率低下
2025-04-15 09:29:24.375818,W001,白班,0.89,0.69,质检,正常,2025-02-04,效率低下
2025-04-15 15:09:57.070756,W001,白班,0.59,0.61,上料,正常,2025-02-04,效率低下
2025-04-15 12:35:19.130104,W002,白班,1.36,0.74,维护,正常,2025-02-28,效率低下
2025-04-15 15:12:07.107857,W002,白班,1.88,0.65,下料,正常,2025-02-28,效率低下
2025-04-15 15:50:38.536738,W002,白班,0.6,0.63,下料,正常,2025-02-28,效率低下
2025-04-15 14:33:13.631871,W002,白班,1.01,0.68,质检,异常,2025-02-28,效率低下
2025-04-15 10:15:54.782740,W003,白班,1.57,0.67,下料,正常,2024-10-21,效率低下|需要培训
2025-04-15 08:27:44.839052,W003,白班,1.35,0.7,调试,正常,2024-10-21,效率低下|需要培训
2025-04-15 14:29:14.308395,W003,白班,1.35,0.6,下料,正常,2024-10-21,效率低下|需要培训
2025-04-15 10:25:44.212680,W003,白班,1.19,0.67,维护,正常,2024-10-21,效率低下|需要培训
2025-04-15 09:10:20.445795,W004,白班,1.98,0.75,调试,正常,2025-02-03,效率低下
2025-04-15 10:07:08.082688,W004,白班,1.71,0.72,上料,正常,2025-02-03,效率低下
2025-04-15 13:58:33.542833,W004,白班,0.92,0.62,调试,正常,2025-02-03,效率低下
2025-04-15 09:56:01.454423,W004,白班,0.9,0.73,下料,正常,2025-02-03,效率低下
2025-04-15 13:17:03.993410,W005,白班,1.04,0.85,质检,正常,2025-02-07,正常
2025-04-15 08:03:58.366732,W005,白班,1.8,0.91,质检,正常,2025-02-07,正常
2025-04-15 14:46:58.276524,W006,白班,1.94,0.72,质检,正常,2024-12-29,效率低下|需要培训
2025-04-15 15:02:41.079329,W006,白班,1.59,0.72,调试,正常,2024-12-29,效率低下|需要培训
2025-04-15 14:31:07.905224,W006,白班,1.84,0.73,质检,正常,2024-12-29,效率低下|需要培训
2025-04-15 09:25:44.206006,W006,白班,0.86,0.79,调试,正常,2024-12-29,需要培训
2025-04-15 12:10:45.497680,W007,白班,0.93,0.72,维护,正常,2025-02-27,效率低下
2025-04-15 14:06:33.680002,W007,白班,1.04,0.66,下料,正常,2025-02-27,效率低下
2025-04-15 14:42:36.024931,W007,白班,1.06,0.65,维护,正常,2025-02-27,效率低下
2025-04-15 10:29:50.151336,W007,白班,1.27,0.76,下料,正常,2025-02-27,正常
2025-04-15 11:42:06.865341,W008,白班,0.55,0.69,上料,正常,2024-11-12,效率低下|需要培训
2025-04-15 15:08:33.161209,W008,白班,1.31,0.65,下料,正常,2024-11-12,效率低下|需要培训
2025-04-15 15:14:19.036428,W008,白班,1.77,0.65,维护,正常,2024-11-12,效率低下|需要培训
2025-04-15 12:58:04.490270,W009,白班,1.5,0.76,维护,正常,2024-12-05,需要培训
2025-04-15 09:21:35.677152,W009,白班,0.96,0.82,质检,正常,2024-12-05,需要培训
2025-04-15 13:36:04.977812,W009,白班,1.18,0.75,维护,正常,2024-12-05,效率低下|需要培训
2025-04-15 10:43:18.257981,W009,白班,0.54,0.8,上料,正常,2024-12-05,需要培训
2025-04-15 13:33:09.768610,W010,白班,1.45,0.84,调试,正常,2024-12-14,需要培训
2025-04-15 12:14:14.859810,W010,白班,1.21,0.85,下料,正常,2024-12-14,需要培训
2025-04-15 13:57:18.424793,W010,白班,1.61,0.83,下料,正常,2024-12-14,需要培训
2025-04-15 19:25:28.854540,W001,夜班,0.82,0.6,调试,正常,2025-02-04,效率低下
2025-04-15 19:12:40.129449,W001,夜班,1.2,0.6,上料,正常,2025-02-04,效率低下
2025-04-15 22:39:01.945497,W002,夜班,0.85,0.61,上料,正常,2025-02-28,效率低下
2025-04-15 21:57:09.584369,W002,夜班,0.97,0.63,质检,正常,2025-02-28,效率低下
2025-04-15 23:06:39.285104,W002,夜班,1.49,0.59,质检,正常,2025-02-28,效率低下
2025-04-15 19:05:23.059331,W002,夜班,1.93,0.71,质检,正常,2025-02-28,效率低下
2025-04-15 19:35:39.519664,W003,夜班,0.52,0.58,下料,正常,2024-10-21,效率低下|需要培训
2025-04-15 17:46:59.000010,W003,白班,1.31,0.68,质检,正常,2024-10-21,效率低下|需要培训
2025-04-15 16:03:27.696132,W004,白班,0.68,0.78,下料,正常,2025-02-03,正常
2025-04-15 17:32:23.009673,W004,白班,0.97,0.74,调试,正常,2025-02-03,效率低下
2025-04-15 19:57:12.067116,W004,夜班,0.52,0.61,维护,异常,2025-02-03,效率低下
2025-04-15 20:48:48.043295,W004,夜班,1.08,0.59,调试,正常,2025-02-03,效率低下
2025-04-15 22:02:50.710442,W005,夜班,1.9,0.76,下料,正常,2025-02-07,正常
2025-04-15 22:04:35.838591,W005,夜班,0.9,0.75,质检,正常,2025-02-07,正常
2025-04-15 20:56:31.511456,W005,夜班,0.65,0.77,质检,正常,2025-02-07,正常
2025-04-15 23:13:28.516514,W006,夜班,1.04,0.65,调试,正常,2024-12-29,效率低下|需要培训
2025-04-15 18:48:43.680739,W006,夜班,1.44,0.7,质检,正常,2024-12-29,效率低下|需要培训
2025-04-15 23:55:38.270158,W007,夜班,1.58,0.55,质检,正常,2025-02-27,效率低下
2025-04-15 16:33:45.681100,W007,白班,1.46,0.82,维护,正常,2025-02-27,正常
2025-04-15 16:25:37.260499,W008,白班,1.82,0.73,维护,正常,2024-11-12,效率低下|需要培训
2025-04-15 20:28:36.421384,W008,夜班,0.57,0.61,上料,正常,2024-11-12,效率低下|需要培训
2025-04-15 20:31:52.540594,W008,夜班,0.9,0.61,上料,正常,2024-11-12,效率低下|需要培训
2025-04-15 16:44:38.521548,W009,白班,0.82,0.84,维护,正常,2024-12-05,需要培训
2025-04-15 16:26:38.553667,W009,白班,1.21,0.84,质检,正常,2024-12-05,需要培训
2025-04-15 22:08:31.295857,W009,夜班,0.93,0.66,质检,正常,2024-12-05,效率低下|需要培训
2025-04-15 18:51:08.390658,W010,夜班,1.12,0.78,上料,正常,2024-12-14,需要培训
2025-04-15 16:35:05.860475,W010,白班,1.31,0.9,质检,正常,2024-12-14,需要培训
2025-04-15 19:31:00.837490,W010,夜班,1.31,0.78,上料,正常,2024-12-14,需要培训
2025-04-15 17:49:08.174154,W010,白班,1.64,0.89,上料,正常,2024-12-14,需要培训
2025-04-16 01:57:28.031244,W001,夜班,0.59,0.61,下料,正常,2025-02-04,效率低下
2025-04-16 07:10:59.511405,W001,白班,1.52,0.6,调试,正常,2025-02-04,效率低下
2025-04-16 05:25:58.513745,W001,夜班,0.8,0.57,上料,正常,2025-02-04,效率低下
2025-04-16 04:58:44.457752,W002,夜班,0.78,0.65,质检,正常,2025-02-28,效率低下
2025-04-16 04:00:16.567162,W002,夜班,1.95,0.68,调试,正常,2025-02-28,效率低下
2025-04-16 00:40:23.759104,W002,夜班,1.86,0.78,下料,正常,2025-02-28,正常
2025-04-16 05:03:40.250868,W002,夜班,1.06,0.65,调试,正常,2025-02-28,效率低下
2025-04-16 02:44:57.439656,W003,夜班,1.95,0.59,下料,正常,2024-10-21,效率低下|需要培训
2025-04-16 07:10:14.580974,W003,白班,1.44,0.59,下料,正常,2024-10-21,效率低下|需要培训
2025-04-16 01:41:02.190345,W003,夜班,1.79,0.61,质检,正常,2024-10-21,效率低下|需要培训
2025-04-16 05:03:31.742250,W003,夜班,1.55,0.56,质检,正常,2024-10-21,效率低下|需要培训
2025-04-16 03:57:59.576799,W004,夜班,1.81,0.61,上料,正常,2025-02-03,效率低下
2025-04-16 04:23:32.736316,W004,夜班,1.46,0.6,质检,正常,2025-02-03,效率低下
2025-04-16 00:34:08.553743,W005,夜班,0.9,0.82,上料,正常,2025-02-07,正常
2025-04-16 00:42:04.093142,W005,夜班,1.94,0.82,质检,正常,2025-02-07,正常
2025-04-16 04:20:59.206743,W006,夜班,1.02,0.68,质检,正常,2024-12-29,效率低下|需要培训
2025-04-16 06:50:16.645375,W006,白班,0.59,0.72,维护,正常,2024-12-29,效率低下|需要培训
2025-04-16 00:33:52.672028,W007,夜班,1.81,0.74,上料,正常,2025-02-27,效率低下
2025-04-16 02:11:31.318417,W007,夜班,0.79,0.69,上料,正常,2025-02-27,效率低下
2025-04-16 01:26:34.102677,W008,夜班,1.07,0.65,上料,正常,2024-11-12,效率低下|需要培训
2025-04-16 03:32:47.424399,W008,夜班,0.72,0.62,调试,正常,2024-11-12,效率低下|需要培训
2025-04-16 03:38:51.532043,W008,夜班,0.77,0.62,质检,正常,2024-11-12,效率低下|需要培训
2025-04-16 05:44:20.703204,W009,夜班,1.88,0.67,维护,正常,2024-12-05,效率低下|需要培训
2025-04-16 06:43:16.691838,W009,白班,0.71,0.72,调试,正常,2024-12-05,效率低下|需要培训
2025-04-16 00:51:02.046042,W010,夜班,1.38,0.81,下料,正常,2024-12-14,需要培训
2025-04-16 01:54:10.113164,W010,夜班,1.62,0.8,上料,正常,2024-12-14,需要培训
2025-04-16 11:03:13.842870,W001,白班,1.77,0.67,质检,正常,2025-02-04,效率低下
2025-04-16 15:20:24.039351,W001,白班,1.71,0.6,调试,正常,2025-02-04,效率低下
2025-04-16 08:30:30.570603,W001,白班,0.53,0.7,维护,正常,2025-02-04,效率低下
2025-04-16 08:22:12.901965,W002,白班,0.59,0.88,维护,正常,2025-02-28,正常
2025-04-16 13:53:50.653616,W002,白班,1.94,0.7,调试,正常,2025-02-28,效率低下
2025-04-16 11:04:42.921874,W002,白班,1.33,0.79,下料,正常,2025-02-28,正常
2025-04-16 08:28:48.595192,W003,白班,1.64,0.7,维护,正常,2024-10-21,效率低下|需要培训
2025-04-16 11:07:10.539740,W003,白班,1.12,0.65,质检,正常,2024-10-21,效率低下|需要培训
2025-04-16 15:59:35.017558,W003,白班,0.89,0.58,维护,正常,2024-10-21,效率低下|需要培训
2025-04-16 12:23:15.879665,W003,白班,1.54,0.63,调试,正常,2024-10-21,效率低下|需要培训
2025-04-16 12:47:06.564086,W004,白班,1.03,0.65,调试,正常,2025-02-03,效率低下
2025-04-16 15:33:18.935769,W004,白班,1.21,0.58,上料,正常,2025-02-03,效率低下
2025-04-16 08:08:39.212515,W004,白班,1.66,0.78,上料,正常,2025-02-03,正常
2025-04-16 14:03:50.981976,W004,白班,0.9,0.62,质检,正常,2025-02-03,效率低下
2025-04-16 15:24:18.191073,W005,白班,1.91,0.82,维护,正常,2025-02-07,正常
2025-04-16 11:23:36.258669,W005,白班,1.64,0.87,维护,正常,2025-02-07,正常
2025-04-16 14:23:52.398774,W005,白班,1.43,0.83,上料,正常,2025-02-07,正常
2025-04-16 12:12:44.663848,W006,白班,0.89,0.76,调试,正常,2024-12-29,需要培训
2025-04-16 10:06:31.536944,W006,白班,0.74,0.78,调试,正常,2024-12-29,需要培训
2025-04-16 15:37:21.501830,W006,白班,1.7,0.71,上料,正常,2024-12-29,效率低下|需要培训
2025-04-16 09:40:07.021284,W006,白班,1.5,0.79,上料,正常,2024-12-29,需要培训
2025-04-16 08:23:32.338993,W007,白班,0.81,0.82,维护,正常,2025-02-27,正常
2025-04-16 09:05:08.210899,W007,白班,0.8,0.8,上料,正常,2025-02-27,正常
2025-04-16 15:30:14.532798,W007,白班,0.97,0.62,质检,正常,2025-02-27,效率低下
2025-04-16 14:20:27.405820,W007,白班,1.62,0.66,调试,正常,2025-02-27,效率低下
2025-04-16 14:29:53.295487,W008,白班,1.16,0.66,下料,正常,2024-11-12,效率低下|需要培训
2025-04-16 15:55:19.652063,W008,白班,0.82,0.64,调试,异常,2024-11-12,效率低下|需要培训
2025-04-16 11:50:25.849206,W008,白班,1.34,0.69,上料,正常,2024-11-12,效率低下|需要培训
2025-04-16 12:19:48.494641,W009,白班,0.91,0.77,上料,正常,2024-12-05,需要培训
2025-04-16 15:57:49.278845,W009,白班,1.55,0.7,维护,正常,2024-12-05,效率低下|需要培训
2025-04-16 08:03:38.317735,W009,白班,1.51,0.85,调试,正常,2024-12-05,需要培训
2025-04-16 12:18:39.477828,W009,白班,1.55,0.77,下料,正常,2024-12-05,需要培训
2025-04-16 11:58:45.645122,W010,白班,1.84,0.86,质检,正常,2024-12-14,需要培训
2025-04-16 08:29:04.049207,W010,白班,1.17,0.9,维护,正常,2024-12-14,需要培训
2025-04-16 19:15:01.091044,W001,夜班,1.46,0.6,质检,正常,2025-02-04,效率低下
2025-04-16 18:31:20.185191,W001,夜班,0.64,0.61,调试,正常,2025-02-04,效率低下
2025-04-16 23:33:59.471369,W001,夜班,1.42,0.54,上料,正常,2025-02-04,效率低下
2025-04-16 18:25:56.188958,W001,夜班,1.04,0.61,调试,正常,2025-02-04,效率低下
2025-04-16 18:21:22.546140,W002,夜班,0.74,0.73,下料,正常,2025-02-28,效率低下
2025-04-16 22:11:16.609817,W002,夜班,1.5,0.62,维护,正常,2025-02-28,效率低下
2025-04-16 17:02:10.621709,W003,白班,1.52,0.69,调试,正常,2024-10-21,效率低下|需要培训
2025-04-16 16:23:53.848646,W003,白班,0.63,0.7,下料,正常,2024-10-21,效率低下|需要培训
2025-04-16 22:28:23.174080,W003,夜班,1.55,0.54,维护,正常,2024-10-21,效率低下|需要培训
2025-04-16 23:39:09.556095,W003,夜班,1.65,0.52,维护,正常,2024-10-21,效率低下|需要培训
2025-04-16 22:08:42.924799,W004,夜班,1.86,0.55,维护,正常,2025-02-03,效率低下
2025-04-16 23:30:07.059947,W004,夜班,0.95,0.52,质检,正常,2025-02-03,效率低下
2025-04-16 18:34:35.675864,W004,夜班,1.22,0.64,上料,正常,2025-02-03,效率低下
2025-04-16 20:45:00.716147,W005,夜班,0.81,0.77,质检,正常,2025-02-07,正常
2025-04-16 16:30:39.650907,W005,白班,0.84,0.91,下料,正常,2025-02-07,正常
2025-04-16 23:06:17.641800,W005,夜班,0.61,0.74,下料,正常,2025-02-07,效率低下
2025-04-16 19:25:16.487421,W006,夜班,1.24,0.69,上料,正常,2024-12-29,效率低下|需要培训
2025-04-16 16:19:39.244432,W006,白班,1.39,0.81,调试,正常,2024-12-29,需要培训
2025-04-16 20:35:23.155923,W006,夜班,1.73,0.68,上料,正常,2024-12-29,效率低下|需要培训
2025-04-16 16:55:03.031098,W007,白班,1.94,0.81,维护,正常,2025-02-27,正常
2025-04-16 18:16:36.374816,W007,夜班,1.14,0.69,上料,正常,2025-02-27,效率低下
2025-04-16 19:14:25.424534,W007,夜班,1.9,0.67,下料,正常,2025-02-27,效率低下
2025-04-16 18:13:53.070079,W007,夜班,1.99,0.69,调试,正常,2025-02-27,效率低下
2025-04-16 16:13:03.859325,W008,白班,1.56,0.73,维护,正常,2024-11-12,效率低下|需要培训
2025-04-16 20:33:10.845896,W008,夜班,1.19,0.61,维护,正常,2024-11-12,效率低下|需要培训
2025-04-16 16:14:56.065412,W009,白班,0.76,0.85,质检,正常,2024-12-05,需要培训
2025-04-16 17:04:15.714644,W009,白班,1.07,0.83,下料,正常,2024-12-05,需要培训
2025-04-16 17:01:38.452722,W009,白班,1.09,0.83,质检,正常,2024-12-05,需要培训
2025-04-16 18:25:25.717041,W009,夜班,0.8,0.72,维护,正常,2024-12-05,效率低下|需要培训
2025-04-16 18:50:42.258264,W010,夜班,1.44,0.78,维护,正常,2024-12-14,需要培训
2025-04-16 22:15:49.507905,W010,夜班,0.99,0.74,下料,正常,2024-12-14,效率低下|需要培训
2025-04-17 07:39:46.355725,W001,白班,1.73,0.6,维护,正常,2025-02-04,效率低下
2025-04-17 07:51:15.602292,W001,白班,1.97,0.59,上料,正常,2025-02-04,效率低下
2025-04-17 04:24:04.449863,W002,夜班,0.77,0.67,质检,正常,2025-02-28,效率低下
2025-04-17 06:12:25.500993,W002,白班,0.89,0.69,下料,正常,2025-02-28,效率低下
2025-04-17 01:30:49.270613,W002,夜班,0.83,0.76,维护,正常,2025-02-28,正常
2025-04-17 01:38:10.708022,W003,夜班,1.01,0.61,调试,正常,2024-10-21,效率低下|需要培训
2025-04-17 02:34:06.217966,W003,夜班,0.66,0.6,质检,正常,2024-10-21,效率低下|需要培训
2025-04-17 05:54:59.698060,W004,夜班,0.53,0.56,上料,正常,2025-02-03,效率低下
